ID,Como,Quiero,Para,Given,When,Then,Prioridad,Versión,Traza a RF,ID RF,Columna 1,Columna 2
HU-C01,Cliente en mesa,ordenar por mi cuenta sin llamar al mesero,evitar esperas y fricciones,la mesa tiene un identificador (QR) válido y hay conectividad,escaneo el QR de la mesa,"se abre la web en su página de inicio y la mesa queda asociada; si el QR es inválido o no hay conexión, se informa claramente",Alta,v1.0,Acceso,RF-05,Validar vs HU-C20,
HU-C02,Cliente que recién entra,ubicar rápidamente las secciones clave de consumo,orientarme sin aprender la interfaz,existen secciones predefinidas por el negocio,navego a la pantalla de inicio,se muestran solo las secciones habilitadas por el negocio; el cliente no puede configurarlas,Alta,v1.0,Acceso,RF-06,,
HU-C03,Cliente nuevo,registrarme con mis datos obligatorios y verificar mi correo,no reescribir datos en cada visita,soy cliente nuevo y hay campos obligatorios definidos,"inicio el registro con mi correo (p. ej., Gmail)","el sistema solicita y valida obligatorios, crea el preusuario y envía correo de verificación; la cuenta queda activa tras verificar el enlace; si el correo ya está ligado a otro DNI, se informa",Media,v1.0,Crear Usuario,RF-03,,
HU-C04,Cliente registrado,iniciar sesión en mi cuenta,recuperar mi experiencia y pedidos,mi usuario está previamente validado,inicio sesión,"accedo; si hay 30 min de inactividad, la sesión expira",Media,v1.0,Inicio de sesion,RF-04,,
HU-C05,Cliente explorando,explorar la oferta vigente por categorías,decidir más rápido qué consumir,hay carta vigente,ingreso al menú,"solo veo productos activos/disponibles con nombre, imagen y descripción",Media,v1.0,Carta digital,RF-07,,
HU-C06,Cliente con objetivo concreto,encontrar un producto por texto,evitar navegar toda la carta,existe carta vigente,busco por nombre/categoría,"obtengo resultados de la carta vigente; si no hay coincidencias, se informa que no hay resultados",Media,v1.0,Búsqueda,RF-09,,
HU-C07,Cliente que personaliza,añadir extras disponibles a mi selección,adaptar el producto a mis preferencias,el producto tiene extras definidos por el negocio,abro la personalización,se listan extras con su precio y el subtotal se actualiza al confirmar,Media,v1.0,Personalización,RF-12,,
HU-C08,Cliente con requerencia especial,dejar una indicación breve para cocina,recibir el plato como lo necesito,abro detalle del ítem,agrego un comentario corto,se guarda un comentario por producto y se transfiere a cocina en la comanda,Media,v1.0,Personalización,RF-13,,
HU-C09,Cliente antes de confirmar,"revisar cantidades, subtotales e impuestos de mi orden",validar mi consumo antes de enviar,existe un carrito único por sesión,consulto “mi orden”,"si está vacío, no puedo avanzar; si excede límites, no permite agregar más",Media,v1.0,Carrito,RF-14,,
HU-C10,Cliente con restricciones alimentarias,ver alérgenos del producto elegido,evitar riesgos de salud,el producto tiene alérgenos catalogados,consulto la info del producto,se muestran los alérgenos definidos por el administrador,Media,v1.0,Carrito,RF-18,,
HU-C11,Cliente listo para enviar,confirmar el envío de mi pedido,que el negocio lo reciba sin errores,hay total calculado y datos obligatorios completos,ejecuto la acción de confirmar,la acción se habilita solo con datos completos; se muestra confirmación tras registrar,Media,v1.0,Pre-Orden,RF-23,,
HU-C12,Cliente con pedido enviado,ver la confirmación legible de mi pedido recién enviado,tener constancia y poder referirme si consulto,el pedido se registró,se confirma,veo un resumen claro del pedido con una referencia legible y la hora (sin tecnicismos); puedo reconsultarlo en la sesión,Media,v1.0,Orden,RF-25,,
HU-C13,Cliente con consumo activo,agregar nuevos ítems a la misma orden,no abrir una orden distinta,existe una orden activa,agrego más productos,los nuevos ítems se suman; los ya enviados no se alteran,Alta,v1.0,Agregar ítems a orden en curso,RF-41,,
HU-C14,Cliente que desea control,revisar mis pedidos ya enviados,llevar control de mi consumo,ya envié pedidos,abro mi historial,"veo la lista de pedidos enviados; al cerrar y pagar todo, el historial local se limpia",Media,v1.0,Pedidos solicitados,RF-36,,
HU-C20,Cliente,Autenticarme en el aplicativo con mi nombre y correo,Poder acceder a la carta digital del restarauten,Me encuentro en el restaurante y tengo acceso al código QR de la mesa / carta.,Escaneo el código QR y el sistema me solicita ingresar mi nombre y correo electrónico.,El sistema me autentica y me muestra la carta digital del restaurante en mi dispositivo.,Media,v2.0,Acceso,RF-05,Validar vs HU-C01,
HU-C21,Cliente,Elegir el modo de pago,Iniciar la división de la cuenta,Existe una orden con ítems confirmados,Selecciono “Dividir cuenta”,"Se muestran las 3 opciones: “Pago total”, “Partes iguales” y “Grupos de pago”",Alta,v1.0,Division cuentas,,,
HU-C22,Cliente,Pagar el total de la cuenta,Agilizar el cobro cuando yo asumo todo,La orden tiene ítems y montos validados,Elijo “Pago total”,Se muestra el total a pagar y el botón de confirmar pago,Alta,v1.0,Division cuentas,,,
HU-C23,Cliente,Dividir en partes iguales,Repartir el total entre N personas,Estoy en “Partes iguales”,Indico la cantidad de personas N,El sistema calcula y muestra subtotal = total/N con regla de redondeo y saldo cero,Alta,v1.0,Division cuentas,,,
HU-C24,Cliente,Editar N personas en “Partes iguales”,Ajustar el reparto si cambia el grupo,Estoy en “Partes iguales” con N definido,Modifico N,"El sistema recalcula montos, aplica redondeo y mantiene balance total = suma de subtotales",Media,v1.0,Division cuentas,,,
HU-C25,Cliente,Ver subtotal por persona,Confirmar cuánto paga cada uno,Estoy en “Partes iguales”,Visualizo la pantalla,"Veo tarjeta/resumen por persona con monto, regla de redondeo y total reconciliado",Media,v1.0,Division cuentas,,,
HU-C26,Cliente,Elegir Grupos de pago,Separar la cuenta por ítems,Estoy en “Dividir cuenta”,Elijo “Grupos de pago”,Se muestra lista de ítems disponibles y opción “Agregar grupo”,Alta,v1.0,Division cuentas,,,
HU-C27,Cliente,Crear un grupo de pago,Organizar ítems por pagador/es,Estoy en “Grupos de pago”,Hago clic en “Agregar grupo”,Se crea grupo vacío con nombre editable y subtotal = 0,Alta,v1.0,Division cuentas,,,
HU-C28,Cliente,Asignar ítems a un grupo,Definir qué paga cada grupo,Hay grupos creados e ítems disponibles,Selecciono ítems y los asigno a un grupo,"El ítem queda marcado como “asignado”, el subtotal del grupo se actualiza, y se reduce el disponible",Alta,v1.0,Division cuentas,,,
HU-C29,Cliente,Evitar doble asignación de un ítem,Prevenir cobros duplicados,Existen ítems ya asignados a un grupo,Intento asignar el mismo ítem a otro grupo,El sistema lo impide y muestra mensaje para mover (re-asignar) o cancelar,Alta,v1.0,Division cuentas,,,
HU-C30,Cliente,Eliminar ítem de un grupo,Corregir una asignación,Un ítem está asignado a un grupo,Selecciono “Eliminar del grupo”,El ítem vuelve a “disponibles” y el subtotal del grupo se recalcula,Media,v1.0,Division cuentas,,,
HU-C31,Cliente,Eliminar un grupo,Mantener orden si ya no se usa,Hay un grupo sin ítems,Elijo “Eliminar grupo”,El grupo se elimina y no afecta el balance general,Media,v1.0,Division cuentas,,,
HU-C32,Cliente,Eliminar un grupo con ítems,Reorganizar sin perder asignaciones,Hay un grupo con ítems,Intento eliminarlo,El sistema solicita re-asignar o liberar ítems antes de eliminar,Media,v1.0,Division cuentas,,,
HU-C33,Cliente,Ver subtotal por grupo,Validar que cada grupo paga lo correcto,Hay grupos con ítems,Visualizo el resumen,Veo subtotal por grupo y “saldo restante” global hasta llegar a cero,Alta,v1.0,Division cuentas,,,
HU-C34,Cliente,Ver total a pagar consolidado,Confirmar que la cuenta total del pedido cuadra,Tengo asignaciones hechas,Abro “Total a pagar”,"El sistema muestra suma de subtotales = total orden; si no cuadra, muestra diferencia y dónde falta asignar",Alta,v1.0,Division cuentas,,,
HU-C35,Cliente,"Cambiar de modalidad de pago (Partes Iguales, Pago Unico, Division de Pagos)",Ajustar la estrategia de pago,Estoy en una modalidad con asignaciones,Selecciono otra modalidad,El producto de software se encuentra en alguna modalidad de pago determinada,Media,v1.0,Division cuentas,,,
HU-C36,Cliente,Ver lista de productos disponibles,Seleccionar lo que pagaré,Estoy en “Grupos de pago”,Abro el panel de ítems,"Veo productos con cantidad, precio, estado (asignado/no) y filtros/búsqueda",Baja,v1.0,Division cuentas,,,
HU-A01,administrador de catálogo,gestionar imágenes de productos,-,subo/edito una imagen,la valido,solo acepta JPG/PNG con tamaño/dimensiones mínimas; guarda referencia y alt opcional,Alta,v1.0,Carga de imágenes de productos,RF-43,,
HU-A02,administrador de catálogo,mapear un producto con un ID externo 1:1,integrar con POS/KDS sin desalinear precios/impuestos,existe producto interno,asigno un ID externo,queda relación 1:1; no sincroniza ni altera precios/impuestos en el POS,Alta,v1.0,Mapeo de producto externo ↔ interno,RF-44,,
HU-A03,administrador de catálogo,activar/ocultar y ordenar productos/categorías,controlar qué se ofrece y cómo se muestra,edito visibilidad/orden,guardo cambios,impacta carta y búsqueda; no borra físicamente; se registra auditoría básica,Alta,v1.0,Activar/ocultar productos y categorías,RF-45,,
HU-A04,administrador de catálogo,gestionar alérgenos por producto,informar riesgos de forma consistente,abro un producto,asigno/quito alérgenos,hasta 10 por producto; catálogo de alérgenos es centralizado,Alta,v1.0,Gestión de alérgenos por producto,RF-46,,
HU-A05,administrador de catálogo,marcar un producto “fuera de stock”,impedir que se seleccione temporalmente,un producto está sin stock,cambio su estado,el estado se refleja en listados/búsqueda y es reversible,Alta,v1.0,Marcar “Fuera de stock” (override),RF-47,,